,Agent,Application ID,Burn Priority,Burn Request ID,Est. Permit Tonnage,Forest Health Exempt,Harvest Acres,Ignition Date,Ignition Period,In UGA,Landowner,Multi Day Burn,Permit Number,Post-Burn,Proposed Burn Area,Request Date,Smoke Dispersed,Total Proposed Burn,Unit Name,Lat,Lon,Request Year,Request Month,Burn Decision,Decision Date,Region
3,,8574,1.0,10192,1475.0,,983.0,2018-10-05 10:00:00,300.0,,Tonasket Tonasket,,40000001314,,300.0,2018-10-05 00:00:00,,450.0,2018 JCLRP HAND PILES,48.650915, -119.038281,2018,10,Approved,2018-10-05 00:00:00,FED
4,Neris Biciunas,7415,,11169,359.0,,50.0,2018-10-05 08:00:00,90.0,,Rayonier Washington Timber Co Rayonier Washington Timber Co,,OL20180086,,45.0,2018-10-04 13:09:01,,350.0,29N14W257,48.046507, -124.471114,2018,10,Approved,2018-10-04 00:00:00,OL
5,Neris Biciunas,7414,,11170,255.0,,84.0,2018-10-05 08:00:00,90.0,,Rayonier Washington Timber Co Rayonier Washington Timber Co,,OL20180087,,80.0,2018-10-04 13:09:27,,250.0,29N14W471,48.033642, -124.471322,2018,10,Approved,2018-10-04 00:00:00,OL
6,,6103,,11571,30.0,,3.0,2018-10-05 09:30:00,5.0,,Richard Lynch,,PC20180231,,3.0,2018-10-05 00:00:00,,30.0,R LYNCH,45.945959, -122.462231,2018,10,Approved,2018-10-05 00:00:00,PC
7,,5922,,11166,345.0,,40.0,2018-10-05 08:00:00,160.0,,Larry Auld,,OL20180127,,10.0,2018-10-04 09:17:56,,100.0,,47.236243, -123.950198,2018,10,Approved,2018-10-04 00:00:00,OL
8,,8574,1.0,11452,1475.0,,983.0,2018-10-04 10:00:00,400.0,,Tonasket Tonasket,,40000001314,,300.0,2018-10-04 00:00:00,,450.0,2018 JCLRP HAND PILES,48.650915, -119.038281,2018,10,Approved,2018-10-04 00:00:00,FED
9,Cle Elum,8480,1.0,11455,6424.0,,774.0,2018-10-04 12:00:00,360.0,,,,40000001313,,45.0,2018-10-04 00:00:00,,375.0,2018 ORION SBA,47.2991, -120.7085,2018,10,Approved,2018-10-04 00:00:00,FED
10,,8197,,11177,30.0,,2.0,2018-10-04 09:30:00,5.0,,Craig Keevy,,NE20180222,,2.0,2018-10-09 00:00:00,,30.0,,47.529141, -117.486444,2018,10,Approved,2018-10-09 00:00:00,NE
11,Neris Biciunas,7415,,9163,359.0,,50.0,2018-10-04 08:00:00,90.0,,Rayonier Washington Timber Co Rayonier Washington Timber Co,,OL20180086,,45.0,2018-10-03 12:13:21,,350.0,29N14W257,48.046507, -124.471114,2018,10,Approved,2018-10-04 00:00:00,OL
12,Neris Biciunas,7414,,9164,255.0,,84.0,2018-10-04 08:00:00,90.0,,Rayonier Washington Timber Co Rayonier Washington Timber Co,,OL20180087,,80.0,2018-10-03 12:14:14,,250.0,29N14W471,48.033642, -124.471322,2018,10,Approved,2018-10-04 00:00:00,OL
13,Neris Biciunas,7413,,9162,219.0,,63.0,2018-10-04 08:00:00,90.0,,Rayonier Washington Timber Co Rayonier Washington Timber Co,,OL20180044,,60.0,2018-10-03 12:12:36,,210.0,,48.045919, -124.577738,2018,10,Approved,2018-10-04 00:00:00,OL
14,,7133,,12125,30.0,,10.0,2018-10-04 09:30:00,5.0,,Colleen Byrne,,NE20180224,,10.0,2018-10-09 00:00:00,,30.0,,47.572508, -117.31439,2018,10,Approved,2018-10-09 00:00:00,NE
15,,7132,,12124,30.0,,10.0,2018-10-04 09:30:00,5.0,,Pamela Morley,,NE20180214,,10.0,2018-10-09 00:00:00,,30.0,,47.603753, -117.142508,2018,10,Approved,2018-10-09 00:00:00,NE
16,Greg Campbell,7131,,12123,30.0,,5.0,2018-10-04 09:30:00,5.0,,Penny Gillmore,,NE20180225,,5.0,2018-10-09 00:00:00,,30.0,,47.722149, -117.079966,2018,10,Approved,2018-10-09 00:00:00,NE
17,,7130,,12122,43.0,,7.0,2018-10-04 09:30:00,5.0,,Nathan Lowe,,NE20180229,,7.0,2018-10-09 00:00:00,,30.0,,47.823725, -117.314804,2018,10,Approved,2018-10-09 00:00:00,NE
18,,7129,,12121,45.0,,4.0,2018-10-04 09:30:00,5.0,,Kimball Jones,,NE20180209,,4.0,2018-10-09 00:00:00,,45.0,,47.779718, -117.100191,2018,10,Approved,2018-10-09 00:00:00,NE
19,Eric Meister,6169,,11644,64.0,,12.0,2018-10-04 09:30:00,5.0,,"Bascom Pacific, LLC Bascom Pacific, LLC",,OL20180177,,12.0,2018-10-04 00:00:00,,64.0,WEDEKIND #5015,47.030646, -123.707155,2018,10,Approved,2018-10-04 00:00:00,OL
20,Eric Meister,6168,,11643,98.0,,13.0,2018-10-04 09:30:00,5.0,,"Bascom Pacific, LLC Bascom Pacific, LLC",,OL20180176,,13.0,2018-10-04 00:00:00,,98.0,WISKAH PATCHES #5016,47.202809, -123.745012,2018,10,Approved,2018-10-04 00:00:00,OL
21,,5945,,12739,30.0,,2.0,2018-10-04 09:30:00,5.0,,Steve Strite,,NE20180231,,2.0,2018-10-08 00:00:00,,30.0,,48.330038, -117.749917,2018,10,Approved,2018-10-08 00:00:00,NE
22,,8945,1.0,8634,53811.0,,3359.0,2018-10-03 10:30:00,240.0,,Thomas Hall,,40000001280,,188.0,2018-10-03 00:00:00,,1237.0,25 MILE UB 2018,47.9691, -120.2991,2018,10,Approved,2018-10-03 00:00:00,FED
23,,8575,1.0,11453,4972.0,,888.0,2018-10-03 10:00:00,200.0,,Tonasket Tonasket,,40000001315,,30.0,2018-10-03 00:00:00,,100.0,2018 BAILEY EXC,48.537628, -119.117735,2018,10,,,FED
24,,8574,1.0,11454,1475.0,,983.0,2018-10-03 10:00:00,300.0,,Tonasket Tonasket,,40000001314,,180.0,2018-10-03 00:00:00,,200.0,2018 JCLRP HAND PILES,48.650915, -119.038281,2018,10,,,FED
25,Jim Schleusner,8192,,11011,21.0,,13.0,2018-10-03 09:30:00,5.0,,Hancock Forest Management Hancock Forest Management,,PC20180200,,13.0,2018-10-08 00:00:00,,21.0,KN4001,46.276239, -123.265348,2018,10,Approved,2018-10-08 00:00:00,PC
26,Jim Schleusner,8039,,11010,49.0,,35.0,2018-10-03 09:30:00,5.0,,Hancock Forest Management Hancock Forest Management,,PC20180208,,35.0,2018-10-08 00:00:00,,49.0,SC5068,46.352315, -121.843334,2018,10,Approved,2018-10-08 00:00:00,PC
27,Jim Schleusner,8036,,11009,62.0,,19.0,2018-10-03 09:30:00,5.0,,Hancock Forest Management Hancock Forest Management,,PC20180211,,19.0,2018-10-08 00:00:00,,62.0,SC5035,46.321875, -123.737761,2018,10,Approved,2018-10-08 00:00:00,PC
28,Jim Schleusner,8032,,11008,47.0,,30.0,2018-10-03 09:30:00,5.0,,Hancock Forest Management Hancock Forest Management,,PC20180194,,30.0,2018-10-08 00:00:00,,47.0,NR6119,46.843202, -123.80823,2018,10,Approved,2018-10-08 00:00:00,PC
29,Jim Schleusner,8028,,11007,93.0,,25.0,2018-10-03 09:30:00,5.0,,Hancock Forest Management Hancock Forest Management,,PC20180190,,25.0,2018-10-08 00:00:00,,93.0,NK5136,46.569475, -123.890838,2018,10,Approved,2018-10-08 00:00:00,PC
30,Jim Schleusner,8025,,11006,72.0,,22.0,2018-10-03 09:30:00,5.0,,Hancock Forest Management Hancock Forest Management,,PC20180187,,22.0,2018-10-08 00:00:00,,72.0,NK5132,46.770807, -123.887308,2018,10,Approved,2018-10-08 00:00:00,PC
31,Jim Schleusner,8024,,11005,40.0,,17.0,2018-10-03 09:30:00,5.0,,Hancock Forest Management Hancock Forest Management,,PC20180186,,17.0,2018-10-08 00:00:00,,40.0,ER3056,46.784666, -123.848427,2018,10,Approved,2018-10-08 00:00:00,PC
32,Jim Schleusner,8022,,11004,98.0,,7.0,2018-10-03 09:30:00,5.0,,Hancock Forest Management Hancock Forest Management,,PC20180184,,7.0,2018-10-08 00:00:00,,98.0,SC5046,46.321875, -123.737761,2018,10,Approved,2018-10-08 00:00:00,PC
33,BUCKS LOGGING BUCKS LOGGING,8020,,11003,36.0,,15.0,2018-10-03 09:30:00,5.0,,Karen Hadley,,PC20180212,,15.0,2018-10-08 00:00:00,,36.0,HADLEY,46.655991, -122.83426,2018,10,Approved,2018-10-08 00:00:00,PC
34,BUCKS LOGGING BUCKS LOGGING,8019,,11002,30.0,,30.0,2018-10-03 09:30:00,5.0,,Rich Norquist,,PC201801213,,30.0,2018-10-08 00:00:00,,30.0,NORQUIST-TRYON RD,46.582954, -122.729952,2018,10,Approved,2018-10-08 00:00:00,PC
35,BUCKS LOGGING BUCKS LOGGING,8018,,11001,29.0,,22.0,2018-10-03 09:30:00,5.0,,Richard Bainbridge,,PC20180214,,22.0,2018-10-08 00:00:00,,29.0,SHORT RD,46.611945, -122.646153,2018,10,Approved,2018-10-08 00:00:00,PC
36,Neris Biciunas,7415,,8637,359.0,,50.0,2018-10-03 08:00:00,90.0,,Rayonier Washington Timber Co Rayonier Washington Timber Co,,OL20180086,,45.0,2018-10-02 13:20:25,,350.0,29N14W257,48.046507, -124.471114,2018,10,Approved,2018-10-03 00:00:00,OL
37,Neris Biciunas,7414,,8638,255.0,,84.0,2018-10-03 08:00:00,90.0,,Rayonier Washington Timber Co Rayonier Washington Timber Co,,OL20180087,,80.0,2018-10-02 13:21:22,,250.0,29N14W471,48.033642, -124.471322,2018,10,Approved,2018-10-03 00:00:00,OL
38,Neris Biciunas,7413,,8639,219.0,,63.0,2018-10-03 08:00:00,90.0,,Rayonier Washington Timber Co Rayonier Washington Timber Co,,OL20180044,,60.0,2018-10-02 13:22:58,,210.0,,48.045919, -124.577738,2018,10,Approved,2018-10-03 00:00:00,OL
39,Lance vanderpool,7859,,11118,68.0,,45.0,2018-10-02 09:30:00,5.0,,Sierra Pacific Industries Sierra Pacific Industries,,PC20180144,,45.0,2018-10-03 00:00:00,,68.0,ELK EAR,46.348811, -123.207476,2018,10,Approved,2018-10-03 00:00:00,PC
40,,7813,1.0,8633,43878.0,,7313.0,2018-10-02 10:00:00,360.0,,Naches Naches,,40000001276,,50.0,2018-10-02 00:00:00,,300.0,CANTEEN UB 2018,46.8869, -120.9223,2018,10,Approved,2018-10-02 00:00:00,FED
41,,7544,,11012,30.0,,2.0,2018-10-02 09:30:00,5.0,,Scott Levanen,,PC20180178,,2.0,2018-10-09 00:00:00,,30.0,S. LEVANEN,45.873971, -122.462192,2018,10,Approved,2018-10-09 00:00:00,PC
42,,7128,,12120,30.0,,1.0,2018-10-02 09:30:00,5.0,,Charles Olivler,,NE20180212,,1.0,2018-10-09 00:00:00,,30.0,,47.838288, -117.357542,2018,10,Approved,2018-10-09 00:00:00,NE
43,,7122,,9055,30.0,,4.0,2018-10-02 09:30:00,5.0,,Dean Bennetch,,NE20180227,,4.0,2018-10-02 00:00:00,,30.0,,48.969908, -117.658689,2018,10,Approved,2018-10-02 00:00:00,NE
44,ROBERT JOHNSTONE,8573,,9059,30.0,,8.0,2018-10-01 09:30:00,5.0,,Kyle Filla,,PC20180179,,8.0,2018-10-03 00:00:00,,30.0,834 SCHMIT RD,46.423577, -122.730778,2018,10,Approved,2018-10-03 00:00:00,PC
45,ROBERT JOHNSTONE,8572,,9058,99.0,,17.0,2018-10-01 09:30:00,5.0,,David Filla,,PC20180180,,17.0,2018-10-03 00:00:00,,99.0,CEDAR CREEK RD,46.42351, -122.709869,2018,10,Approved,2018-10-03 00:00:00,PC
46,,8571,,9057,30.0,,8.0,2018-10-01 09:30:00,5.0,,Leland Rakoz,,PC20180181,,8.0,2018-10-03 00:00:00,,30.0,312 MCGKAUGHLIN RD,46.452665, -122.959669,2018,10,Approved,2018-10-03 00:00:00,PC
47,JERAD SPOGEN,7854,,8956,39.0,,59.0,2018-10-01 09:30:00,5.0,,Jorgensen Timber Llc Jorgensen Timber Llc,,PC20180168,,59.0,2018-10-03 00:00:00,,39.0,PEARSON,46.584447, -123.273278,2018,10,Approved,2018-10-03 00:00:00,PC
48,JERAD SPOGEN,7853,,8955,39.0,,4.0,2018-10-01 09:30:00,5.0,,Jorgensen Timber Llc Jorgensen Timber Llc,,PC20180169,,4.0,2018-10-03 00:00:00,,39.0,P,46.584447, -123.273278,2018,10,Approved,2018-10-03 00:00:00,PC
49,JERAD SPOGEN,7852,,8954,20.0,,9.0,2018-10-01 09:30:00,5.0,,Jorgensen Timber Llc Jorgensen Timber Llc,,PC20180170,,9.0,2018-10-03 00:00:00,,20.0,CONWELL,46.728361, -123.171689,2018,10,Approved,2018-10-03 00:00:00,PC
50,Ben Carlsen,7851,,8953,13.0,,59.0,2018-10-01 09:30:00,5.0,,Alco Holdings Llc Alco Holdings Llc,,PC20180171,,59.0,2018-10-03 00:00:00,,13.0,FLAT TOP,46.713217, -122.750431,2018,10,Approved,2018-10-03 00:00:00,PC
51,Ben Carlsen,7849,,8952,80.0,,39.0,2018-10-01 09:30:00,5.0,,Alco Holdings Llc Alco Holdings Llc,,PC20180173,,39.0,2018-10-03 00:00:00,,80.0,J PATCHES SOUTH,46.698857, -122.750254,2018,10,Approved,2018-10-03 00:00:00,PC
52,Ben Carlsen,7847,,8716,65.0,,126.0,2018-10-01 09:30:00,5.0,,Alco Holdings Llc Alco Holdings Llc,,PC20180175,,126.0,2018-10-03 00:00:00,,65.0,FARM AID NORTH,46.698857, -122.750254,2018,10,Approved,2018-10-03 00:00:00,PC
53,,7813,1.0,9052,43878.0,,7313.0,2018-10-01 11:00:00,400.0,,Naches Naches,,40000001276,,250.0,2018-10-01 00:00:00,,1500.0,CANTEEN UB 2018,46.8869, -120.9223,2018,10,Denied,2018-10-01 00:00:00,FED
54,,7813,1.0,8636,43878.0,,7313.0,2018-10-01 11:00:00,180.0,,Naches Naches,,40000001276,,24.0,2018-10-01 00:00:00,,96.0,CANTEEN UB 2018,46.8869, -120.9223,2018,10,,,FED
55,,6778,1.0,8635,790.0,,141.0,2018-10-01 11:00:00,300.0,,Tonasket Tonasket,,40000001310,,55.0,2018-10-01 00:00:00,,300.0,2018 FROSTED EXC,48.655556, -118.984444,2018,10,,,FED
56,,6688,,9159,30.0,,7.0,2018-10-01 09:30:00,5.0,,Darrell Jensen,,SP-2018-0068,,7.0,2018-10-01 00:00:00,,30.0,184TH TENINO,46.812528, -122.876835,2018,10,Approved,2018-10-01 00:00:00,SP
57,,6687,,9158,63.0,,6.0,2018-10-01 09:30:00,5.0,,Boyer Morris,,SP-2018-0030,,6.0,2018-10-01 00:00:00,,63.0,68 BUTLER MILL,46.93172, -123.295707,2018,10,Approved,2018-10-01 00:00:00,SP
58,Mark Lee,6059,,13110,94.0,,16.0,2018-10-01 09:30:00,5.0,,RD Merrill RD Merrill,,OL20180141,,16.0,2018-10-04 00:00:00,,94.0,,48.094281, -123.898556,2018,10,Approved,2018-10-04 00:00:00,OL
59,,5921,1.0,9051,1359.0,,1158.0,2018-10-01 09:00:00,300.0,,MVRD Fuels,,40000001309,,100.0,2018-10-01 00:00:00,,374.0,UPPER METHOW PILES FY19,48.65006, -120.47984,2018,10,Approved,2018-10-01 00:00:00,FED
60,,7813,1.0,8745,43878.0,,7313.0,2018-09-30 09:00:00,300.0,,Naches Naches,,40000001276,,192.0,2018-09-30 00:00:00,,1152.0,CANTEEN UB 2018,46.8869, -120.9223,2018,9,,,FED
61,Eric Meister,6591,,8640,52.0,,3.0,2018-09-30 09:30:00,5.0,,Sharon Trueman,,OL20180149,,3.0,2018-10-03 00:00:00,,52.0,TRUEMAN,47.044978, -123.64358,2018,10,Approved,2018-10-03 00:00:00,OL
62,Steve Loy,8757,,9161,75.0,,11.0,2018-09-28 09:30:00,5.0,,Green Diamond Resource Co. Green Diamond Resource Co.,,OL20180163,,11.0,2018-10-02 00:00:00,,75.0,WS249,47.232131, -123.620308,2018,10,Approved,2018-10-02 00:00:00,OL
63,Steve Loy,8755,,9160,31.0,,24.0,2018-09-28 09:30:00,5.0,,Green Diamond Resource Co. Green Diamond Resource Co.,,OL20180161,,24.0,2018-10-02 00:00:00,,31.0,,47.321774, -123.515957,2018,10,Approved,2018-10-02 00:00:00,OL
64,,8201,,11180,30.0,,3.0,2018-09-28 09:30:00,5.0,,John Olson,,NE20180217,,3.0,2018-10-09 00:00:00,,30.0,,47.809186, -117.378736,2018,10,Approved,2018-10-09 00:00:00,NE
65,Eric Byrd,8199,,11179,30.0,,5.0,2018-09-28 09:30:00,5.0,,Compund LLC Compund LLC,,NE20180215,,5.0,2018-10-09 00:00:00,,30.0,,47.543925, -117.422051,2018,10,Approved,2018-10-09 00:00:00,NE
66,,8198,,11178,30.0,,10.0,2018-09-28 09:30:00,5.0,,Patricia Moore,,NE20180213,,10.0,2018-10-09 00:00:00,,30.0,,47.572758, -117.618217,2018,10,Approved,2018-10-09 00:00:00,NE
67,,7694,,9157,30.0,,40.0,2018-09-28 09:30:00,5.0,,Keith Egland,,NE20180220,,40.0,2018-09-30 00:00:00,,30.0,,48.38766, -117.901781,2018,9,Approved,2018-09-30 00:00:00,NE
68,Steve Loy,6593,,8714,80.0,,26.0,2018-09-28 09:30:00,5.0,,Green Diamond Resource Co. Green Diamond Resource Co.,,OL20180159,,26.0,2018-10-03 00:00:00,,80.0,,47.367147, -123.601318,2018,10,Approved,2018-10-03 00:00:00,OL
69,Terry Peterson,6505,,9062,30.0,,4.0,2018-09-28 09:30:00,5.0,,Terry Peterson,,OL20180134,,4.0,2018-10-03 00:00:00,,30.0,,48.108772, -123.243403,2018,10,Approved,2018-10-03 00:00:00,OL
70,,8444,1.0,8856,1443.0,,185.0,2018-09-27 10:00:00,400.0,,Tonasket Tonasket,,40000001303,,185.0,2018-09-27 00:00:00,,1443.0,2018 FROSTED 548,48.6207, -118.9231,2018,9,Approved,2018-09-27 00:00:00,FED
71,MATT JORDAN,8305,,9050,30.0,,3.0,2018-09-27 09:30:00,5.0,,Ella Korpi,,PC20180154,,3.0,2018-09-28 00:00:00,,30.0,OXBOW RD,46.570421, -123.643044,2018,9,Approved,2018-09-28 00:00:00,PC
72,Lance vanderpool,8299,,9049,83.0,,15.0,2018-09-27 09:30:00,5.0,,West Fork Timber LLC West Fork Timber LLC,,PC20180159,,15.0,2018-09-28 00:00:00,,83.0,NECKLINE,46.626234, -122.293065,2018,9,Approved,2018-09-28 00:00:00,PC
73,,8202,,11181,30.0,,10.0,2018-09-27 09:30:00,5.0,,Jimmy Parman,,NE20180211,,10.0,2018-10-09 00:00:00,,30.0,,47.779841, -117.078825,2018,10,Approved,2018-10-09 00:00:00,NE
74,JERAD SPOGEN,7856,,9063,50.0,,22.0,2018-09-27 09:30:00,5.0,,Jorgensen Timber Llc Jorgensen Timber Llc,,PC20180167,,22.0,2018-10-03 00:00:00,,50.0,K AND C,46.569979, -123.335319,2018,10,Approved,2018-10-03 00:00:00,PC
75,JERAD SPOGEN,7855,,8957,47.0,,20.0,2018-09-27 09:30:00,5.0,,Jorgensen Timber Llc Jorgensen Timber Llc,,PC20180166,,20.0,2018-10-03 00:00:00,,47.0,PAULS,46.728361, -123.171689,2018,10,Approved,2018-10-03 00:00:00,PC
76,,7813,1.0,8855,43878.0,,7313.0,2018-09-27 09:00:00,300.0,,Naches Naches,,40000001276,,95.0,2018-09-27 00:00:00,,380.0,CANTEEN UB 2018,46.8869, -120.9223,2018,9,Approved,2018-09-27 00:00:00,FED
77,Newport Sullivan,7048,1.0,8854,5687.0,,325.0,2018-09-27 11:00:00,360.0,,,,40000001308,,50.0,2018-09-27 00:00:00,,875.0,FLOWERY TRAIL SOUTH,48.231881, -117.37961,2018,9,Approved,2018-09-27 00:00:00,FED
78,Republic RD,6663,1.0,8738,713.0,,46.0,2018-09-27 11:00:00,330.0,,,,40000001306,,46.0,2018-09-27 00:00:00,,713.0,"VULCAN 2,66",48.9395, -118.6312,2018,9,Approved,2018-09-27 00:00:00,FED
79,,8444,1.0,9047,1443.0,,185.0,2018-09-26 10:00:00,400.0,,Tonasket Tonasket,,40000001303,,185.0,2018-09-26 00:00:00,,1443.0,2018 FROSTED 548,48.6207, -118.9231,2018,9,Denied,2018-09-26 00:00:00,FED
80,Mark Lee,8389,,11398,30.0,,1.0,2018-09-26 09:30:00,5.0,,R.D. Merrill R.D. Merrill,,OL20180145,,1.0,2018-10-04 00:00:00,,30.0,,48.228136, -124.209552,2018,10,Approved,2018-10-04 00:00:00,OL
81,,7813,1.0,8742,43878.0,,7313.0,2018-09-26 09:00:00,300.0,,Naches Naches,,40000001276,,58.0,2018-09-26 00:00:00,,348.0,CANTEEN UB 2018,46.8869, -120.9223,2018,9,Approved,2018-09-26 00:00:00,FED
82,Mark Lee,7322,,12339,30.0,,9.0,2018-09-26 09:30:00,5.0,,R.D. Merrill R.D. Merrill,,OL20180136,,9.0,2018-10-04 00:00:00,,30.0,,48.198088, -124.123386,2018,10,Approved,2018-10-04 00:00:00,OL
83,Mark Lee,7126,,12233,30.0,,3.0,2018-09-26 09:30:00,5.0,,R.D. Merrill R.D. Merrill,,OL20180144,,3.0,2018-10-04 00:00:00,,30.0,,48.245, -124.219,2018,10,Approved,2018-10-04 00:00:00,OL
84,,6964,,12119,28.0,,14.0,2018-09-26 09:30:00,5.0,,Pacific West Timber C/O Campbell Global Pacific West Timber C/O Campbell Global,,OL20180118,,14.0,2018-10-03 00:00:00,,28.0,,48.257118, -124.465616,2018,10,Approved,2018-10-03 00:00:00,OL
85,Eric Meister,6949,,12118,82.0,,39.0,2018-09-26 09:30:00,5.0,,Fruit Growers Supply Company Fruit Growers Supply Company,,OL20180103,,39.0,2018-10-03 00:00:00,,82.0,,47.773156, -124.429462,2018,10,Approved,2018-10-03 00:00:00,OL
86,Eric Meister,6946,,12117,70.0,,46.0,2018-09-26 09:30:00,5.0,,Fruit Growers Supply Company Fruit Growers Supply Company,,OL20180100,,46.0,2018-10-03 00:00:00,,70.0,,47.758522, -124.237288,2018,10,Approved,2018-10-03 00:00:00,OL
87,Branden Sirguy,6945,,12116,98.0,,34.0,2018-09-26 09:30:00,5.0,,Ring Family LP Ring Family LP,,OL20180133,,34.0,2018-10-03 00:00:00,,98.0,MAXFIELD-GOODMAN,47.889803, -124.491322,2018,10,Approved,2018-10-03 00:00:00,OL
88,Branden Sirguy,6944,,12115,78.0,,35.0,2018-09-26 09:30:00,5.0,,Ring Family LP Ring Family LP,,OL20180132,,35.0,2018-10-03 00:00:00,,78.0,,48.051328, -124.000075,2018,10,Approved,2018-10-03 00:00:00,OL
89,Branden Sirguy,6943,,12114,72.0,,8.0,2018-09-26 09:30:00,5.0,,Ring Family LP Ring Family LP,,OL20180131,,8.0,2018-10-03 00:00:00,,72.0,,48.051328, -124.000075,2018,10,Approved,2018-10-03 00:00:00,OL
90,Branden Sirguy,6942,,12112,99.0,,22.0,2018-09-26 09:30:00,5.0,,Ring Family LP Ring Family LP,,OL20180129,,22.0,2018-10-03 00:00:00,,99.0,,48.183637, -124.144716,2018,10,Approved,2018-10-03 00:00:00,OL
91,Branden Sirguy,6941,,12111,99.0,,35.0,2018-09-26 09:30:00,5.0,,Ring Family LP Ring Family LP,,OL20180128,,35.0,2018-10-03 00:00:00,,99.0,,48.086224, -124.313919,2018,10,Approved,2018-10-03 00:00:00,OL
92,Branden Sirguy,6930,,12113,40.0,,8.0,2018-09-26 09:30:00,5.0,,Ring Family LP Ring Family LP,,OL20180130,,8.0,2018-10-03 00:00:00,,40.0,,48.169224, -124.144646,2018,10,Approved,2018-10-03 00:00:00,OL
93,Republic RD,6663,1.0,8734,713.0,,46.0,2018-09-26 11:00:00,360.0,,,,40000001306,,46.0,2018-09-26 00:00:00,,713.0,"VULCAN 2,66",48.9395, -118.6312,2018,9,Approved,2018-09-26 00:00:00,FED
94,Steve Loy,6600,,8715,91.0,,31.0,2018-09-26 09:30:00,5.0,,Green Diamond Resource Co. Green Diamond Resource Co.,,OL20180151,,31.0,2018-10-03 00:00:00,,91.0,,47.367147, -123.601318,2018,10,Approved,2018-10-03 00:00:00,OL
95,,7813,1.0,8744,43878.0,,7313.0,2018-09-25 09:00:00,300.0,,Naches Naches,,40000001276,,70.0,2018-09-25 00:00:00,,280.0,CANTEEN UB 2018,46.8869, -120.9223,2018,9,,,FED
96,PACIFIC NW TIMBER & LOG PACIFIC NW TIMBER & LOG,6869,,9053,66.0,,13.0,2018-09-25 09:30:00,5.0,,Keith Mueller,,NW20180033,,13.0,2018-10-01 00:00:00,,30.0,17505 42ND ST NE,48.028996, -122.000232,2018,10,Approved,2018-10-01 00:00:00,NW
97,,7813,1.0,8732,43878.0,,7313.0,2018-09-24 09:30:00,300.0,,Naches Naches,,40000001276,,250.0,2018-09-24 00:00:00,,1200.0,CANTEEN UB 2018,46.8869, -120.9223,2018,9,Approved,2018-09-24 00:00:00,FED
98,,7254,,9056,30.0,,3.0,2018-09-24 09:30:00,5.0,,Jeff Gillaspie,,OL20180099,,3.0,2018-10-02 00:00:00,,30.0,,47.102083, -123.807831,2018,10,Approved,2018-10-02 00:00:00,OL
99,,7165,,8853,30.0,,2.0,2018-09-24 09:30:00,5.0,,Randy Lawffer,,PC20180135,,2.0,2018-09-24 00:00:00,,30.0,R LAWFFER,45.945831, -122.482938,2018,9,Approved,2018-09-24 00:00:00,PC
100,,7164,,8852,30.0,,5.0,2018-09-24 09:30:00,5.0,,Trevor Wantaja,,PC20180136,,5.0,2018-09-24 00:00:00,,30.0,T. WANTAJA,45.873744, -122.566517,2018,9,Approved,2018-09-24 00:00:00,PC
101,,5994,,8713,30.0,,8.0,2018-09-24 09:30:00,5.0,,Ron Friese,,PC20180139,,8.0,2018-09-25 00:00:00,,30.0,CLARK ROAD #2,46.570578, -123.559155,2018,9,Approved,2018-09-25 00:00:00,PC
102,,5993,,8712,30.0,,6.0,2018-09-24 09:30:00,5.0,,Ron Friese,,PC20180138,,6.0,2018-09-25 00:00:00,,30.0,CLARK ROAD,46.570578, -123.559155,2018,9,Approved,2018-09-25 00:00:00,PC
103,,8294,1.0,8844,621.0,,26.0,2018-09-20 12:00:00,300.0,,Tonasket Tonasket,,40000001302,,26.0,2018-09-20 00:00:00,,621.0,MUTTON 44,48.627778, -119.828333,2018,9,Approved,2018-09-20 00:00:00,FED
104,,8293,2.0,8843,2800.0,,200.0,2018-09-20 12:00:00,300.0,,Tonasket Tonasket,,40000001301,,23.0,2018-09-20 00:00:00,,322.0,BAILEY BD BURN 2018,48.555, -119.077,2018,9,Approved,2018-09-20 00:00:00,FED
105,,8294,2.0,9045,621.0,,26.0,2018-09-19 12:00:00,300.0,,Tonasket Tonasket,,40000001302,,26.0,2018-09-19 00:00:00,,621.0,MUTTON 44,48.627778, -119.828333,2018,9,Approved,2018-09-19 00:00:00,FED
106,,8293,1.0,9044,2800.0,,200.0,2018-09-19 12:00:00,400.0,,Tonasket Tonasket,,40000001301,,200.0,2018-09-19 00:00:00,,2800.0,BAILEY BD BURN 2018,48.555, -119.077,2018,9,Approved,2018-09-19 00:00:00,FED
107,,7866,,8722,10.0,,5.0,2018-09-18 09:30:00,5.0,,Todd Dodgin,,PC20180126,,5.0,2018-09-18 00:00:00,,10.0,T DODGIN,45.874024, -122.483004,2018,9,Approved,2018-09-18 00:00:00,PC
108,Greg Nesgoda,7836,,8851,50.0,,13.0,2018-09-18 09:30:00,5.0,,Rayonier Washington Timber Company Rayonier Washington Timber Company,,PC20180108,,13.0,2018-09-20 00:00:00,,50.0,11N08W038,46.464297, -123.653332,2018,9,Approved,2018-09-20 00:00:00,PC
109,Greg Nesgoda,7834,,8850,61.0,,79.0,2018-09-18 09:30:00,5.0,,Rayonier Washington Timber Company Rayonier Washington Timber Company,,PC20180106,,79.0,2018-09-20 00:00:00,,61.0,11N08W110,46.434968, -123.69522,2018,9,Approved,2018-09-20 00:00:00,PC
