Incident Name,Incident Number,Classification,Region,County,Final Total Acres,Type of Date,General Cause,Specific Cause,Specific Sub Cause,Date,Time
SUNSET SPOT ,360,Classified,NORTHEAST,Spokane County,,Started,Miscellaneous,Burning material from auto (other than thrown),None,08/12/15,16:14
SUNSET SPOT ,360,Classified,NORTHEAST,Spokane County,,First Attack,Miscellaneous,Burning material from auto (other than thrown),None,08/12/15,16:21
TOWER,375,Classified,NORTHEAST,Pend Oreille County,,First Attack,Under Investigation,Under Investigation,None,08/12/15,7:38
TOWER,375,Classified,NORTHEAST,Pend Oreille County,,Started,Under Investigation,Under Investigation,None,08/12/15,1:07
WASHBURN,117,Classified,PACIFIC CASC,Cowlitz County,,Started,Debris Burning,None,None,08/12/15,12:54
WASHBURN,117,Classified,PACIFIC CASC,Cowlitz County,,First Attack,Debris Burning,None,None,08/12/15,12:54
WELCOME WHITE,359,Classified,NORTHEAST,Spokane County,,Started,Undetermined,None,None,08/12/15,12:00
WELCOME WHITE,359,Classified,NORTHEAST,Spokane County,,First Attack,Undetermined,None,None,08/12/15,12:15
ALDER LAKE,1505,Other Agency,PACIFIC CASC,Lewis County,,Started,Lightning,None,None,08/11/15,18:26
BISBEE,349,Classified,NORTHEAST,Ferry County,,First Attack,Lightning,None,None,08/11/15,6:00
BISBEE,349,Classified,NORTHEAST,Ferry County,,Started,Lightning,None,None,08/11/15,1:00
BISBEE ROAD,1580,Other Agency,NORTHEAST,Ferry County,,Started,Lightning,None,None,08/11/15,11:32
BRIDGE CREEK,1583,Other Agency,NORTHEAST,Ferry County,,Started,Lightning,None,None,08/11/15,12:12
CHINA CREEK ,357,Classified,NORTHEAST,Stevens County,,Started,Lightning,None,None,08/11/15,18:01
CHINA CREEK ,357,Classified,NORTHEAST,Stevens County,,First Attack,Lightning,None,None,08/11/15,18:54
DUFF,110,Classified,PACIFIC CASC,Skamania County,,Started,Recreation,Camper,Campfire,08/11/15,12:00
DUFF,110,Classified,PACIFIC CASC,Skamania County,,First Attack,Recreation,Camper,Campfire,08/11/15,13:17
EAST BISBEE,1581,Other Agency,NORTHEAST,Ferry County,,Started,Lightning,None,None,08/11/15,13:06
ELBOW LAKE ,1582,Other Agency,NORTHEAST,Stevens County,,Started,Lightning,None,None,08/11/15,17:59
EVANS SPARK,1003,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,08/11/15,0:19
FAWN LAKE AND LYNCH RD,853,False Alarm,SO PUGET,Mason County,,Started,Undetermined,None,None,08/11/15,15:19
GILLETTE ROAD,353,Classified,NORTHEAST,Stevens County,,First Attack,Lightning,None,None,08/11/15,14:17
HAIG DR,848,False Alarm,SO PUGET,Thurston County,,Started,Undetermined,None,None,08/11/15,12:56
HOPKINS,352,Classified,NORTHEAST,Lincoln County,,First Attack,Lightning,None,None,08/11/15,14:10
KAYLA DRIVE,1517,Other Agency,SO PUGET,Thurston County,,Started,Miscellaneous,Other,None,08/11/15,13:03
LEHMAN ,1579,Other Agency,NORTHEAST,Spokane County,,Started,Miscellaneous,Burning material from auto (other than thrown),None,08/11/15,14:41
MEYER LAKE,111,Classified,SO PUGET,Mason County,,Started,Miscellaneous,Other,None,08/11/15,9:41
MEYER LAKE,111,Classified,SO PUGET,Mason County,,First Attack,Miscellaneous,Other,None,08/11/15,10:05
MURPHY ROAD,356,Classified,NORTHEAST,Spokane County,,Started,Lightning,None,None,08/11/15,16:38
MURPHY ROAD,356,Classified,NORTHEAST,Spokane County,,First Attack,Lightning,None,None,08/11/15,17:00
NORTH FORK CALAWAH,19,Classified,OLYMPIC,Clallam County,,Started,Miscellaneous,Other,None,08/11/15,15:46
NORTH FORK CALAWAH,19,Classified,OLYMPIC,Clallam County,,First Attack,Miscellaneous,Other,None,08/11/15,15:59
Nelson Butte,1552,Other Agency,SOUTHEAST,Yakima County,,Started,Lightning,None,None,08/11/15,12:05
O'TOOLE,355,Classified,NORTHEAST,Stevens County,,First Attack,Lightning,None,None,08/11/15,15:55
PARADIS FOUND,350,Classified,NORTHEAST,Stevens County,,First Attack,Lightning,None,None,08/11/15,3:45
RUTTER CANYON,354,Classified,NORTHEAST,Spokane County,,Started,Under Investigation,Under Investigation,None,08/11/15,16:49
RUTTER CANYON,354,Classified,NORTHEAST,Spokane County,,First Attack,Under Investigation,Under Investigation,None,08/11/15,17:26
STICKPIN,1586,Other Agency,NORTHEAST,Ferry County,,Started,Lightning,None,None,08/11/15,15:00
WILKIE,18,Classified,OLYMPIC,Grays Harbor County,,Started,Miscellaneous,Other,None,08/11/15,14:06
WILKIE,18,Classified,OLYMPIC,Grays Harbor County,,First Attack,Miscellaneous,Other,None,08/11/15,12:00
429TH,115,Classified,PACIFIC CASC,Clark County,,Started,Undetermined,None,None,08/10/15,17:13
429TH,115,Classified,PACIFIC CASC,Clark County,,First Attack,Undetermined,None,None,08/10/15,17:30
80TH AVENUE,55,Classified,NORTHWEST,Snohomish County,,First Attack,Children,Children 10-18,Incendiary,08/10/15,16:10
80TH AVENUE,55,Classified,NORTHWEST,Snohomish County,,Started,Children,Children 10-18,Incendiary,08/10/15,16:08
Cougar Creek,1551,Other Agency,SOUTHEAST,Yakima County,,Started,Under Investigation,None,None,08/10/15,21:28
EDEN LANE,347,Classified,NORTHEAST,Spokane County,,Started,Debris Burning,None,None,08/10/15,0:00
EDEN LANE,347,Classified,NORTHEAST,Spokane County,,First Attack,Debris Burning,None,None,08/10/15,10:57
GILLETTE ROAD,353,Classified,NORTHEAST,Stevens County,,Started,Lightning,None,None,08/10/15,23:00
GOODENOUGH,1004,False Alarm,NORTHEAST,Okanogan County,,Started,Undetermined,None,None,08/10/15,14:44
HOPKINS,352,Classified,NORTHEAST,Lincoln County,,Started,Lightning,None,None,08/10/15,21:00
HUNTERS CAMPGROUND,1001,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,08/10/15,20:40
JUNGLE GRASS,1577,Other Agency,NORTHEAST,Pend Oreille County,,Started,Under Investigation,None,None,08/10/15,12:10
MATSEN CREEK,1578,Other Agency,NORTHEAST,Ferry County,,Started,Lightning,None,None,08/10/15,23:43
MCLEAN RD,814,False Alarm,NORTHWEST,Skagit County,,Started,Undetermined,None,None,08/10/15,14:04
O'TOOLE,355,Classified,NORTHEAST,Stevens County,,Started,Lightning,None,None,08/10/15,20:00
PARADIS FOUND,350,Classified,NORTHEAST,Stevens County,,Started,Lightning,None,None,08/10/15,23:00
QUAIL WAY,1002,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,08/10/15,20:52
ROPER,348,Classified,NORTHEAST,Ferry County,,First Attack,Lightning,None,None,08/10/15,1:15
ROPER,348,Classified,NORTHEAST,Ferry County,,Started,Lightning,None,None,08/10/15,23:30
Rue,104,Classified,SOUTHEAST,Kittitas County,,First Attack,Lightning,None,None,08/10/15,18:23
Rue,104,Classified,SOUTHEAST,Kittitas County,,Started,Lightning,None,None,08/10/15,18:02
SEVEN SPRINGS ,351,Classified,NORTHEAST,Lincoln County,,First Attack,Lightning,None,None,08/10/15,20:37
SEVEN SPRINGS ,351,Classified,NORTHEAST,Lincoln County,,Started,Lightning,None,None,08/10/15,19:00
Spring Gulch,103,Classified,SOUTHEAST,Kittitas County,,Started,Lightning,None,None,08/10/15,17:08
Spring Gulch,103,Classified,SOUTHEAST,Kittitas County,,First Attack,Lightning,None,None,08/10/15,19:39
Wiedaman Gulch,105,Classified,SOUTHEAST,Columbia County,,Started,Lightning,None,None,08/10/15,12:00
Wiedaman Gulch,105,Classified,SOUTHEAST,Columbia County,,First Attack,Lightning,None,None,08/10/15,18:00
BOULDER CREEK,114,Classified,PACIFIC CASC,Clark County,,Started,Undetermined,None,None,08/09/15,14:52
BOULDER CREEK,114,Classified,PACIFIC CASC,Clark County,,First Attack,Undetermined,None,None,08/09/15,15:00
CALISTOGA,109,Classified,SO PUGET,Pierce County,,Started,Recreation,Day Use,Other,08/09/15,18:08
CALISTOGA,109,Classified,SO PUGET,Pierce County,,First Attack,Recreation,Day Use,Other,08/09/15,18:00
CLAYTON FAIRGROUNDS,998,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,08/09/15,10:58
COWLITZ RIDGE,111,Classified,PACIFIC CASC,Lewis County,,Started,Undetermined,None,None,08/09/15,9:39
COWLITZ RIDGE,111,Classified,PACIFIC CASC,Lewis County,,First Attack,Undetermined,None,None,08/09/15,9:40
DUGOUT DOUG,1000,False Alarm,NORTHEAST,Okanogan County,,Started,Undetermined,None,None,08/09/15,13:46
FANCHER RANCH,1576,Other Agency,NORTHEAST,Spokane County,,Started,Miscellaneous,Power Line,None,08/09/15,13:07
GILLETTE,346,Classified,NORTHEAST,Stevens County,,First Attack,Debris Burning,None,None,08/09/15,14:15
GILLETTE,346,Classified,NORTHEAST,Stevens County,,Started,Debris Burning,None,None,08/09/15,14:00
GISH,112,Classified,PACIFIC CASC,Lewis County,,Started,Miscellaneous,Other,None,08/09/15,14:10
GISH,112,Classified,PACIFIC CASC,Lewis County,,First Attack,Miscellaneous,Other,None,08/09/15,14:10
GRAHAM SLASH,345,Classified,NORTHEAST,Pend Oreille County,,Started,Debris Burning,None,None,08/09/15,0:00
GRAHAM SLASH,345,Classified,NORTHEAST,Pend Oreille County,,First Attack,Debris Burning,None,None,08/09/15,2:15
I-90 Oaks,102,Classified,SOUTHEAST,Kittitas County,,Started,Miscellaneous,Burning material from auto (other than thrown),None,08/09/15,14:02
I-90 Oaks,102,Classified,SOUTHEAST,Kittitas County,,First Attack,Miscellaneous,Burning material from auto (other than thrown),None,08/09/15,14:28
KEENEY,996,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,08/09/15,7:26
NO ESLICK,625,Unclassified,NORTHEAST,Ferry County,,Started,Miscellaneous,Vehicle Fire,None,08/09/15,16:37
PIONEER,113,Classified,PACIFIC CASC,Pacific County,,First Attack,Undetermined,None,None,08/09/15,14:15
PIONEER,113,Classified,PACIFIC CASC,Pacific County,,Started,Undetermined,None,None,08/09/15,13:52
THORNTON,110,Classified,SO PUGET,Thurston County,,Started,Under Investigation,Under Investigation,None,08/09/15,22:29
THORNTON,110,Classified,SO PUGET,Thurston County,,First Attack,Under Investigation,Under Investigation,None,08/09/15,23:23
WOOLARD ROAD,999,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,08/09/15,13:50
AUSTIN,626,Unclassified,PACIFIC CASC,Clark County,,Started,Recreation,Camper,Campfire,08/08/15,2:30
CHENEY 6,995,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,08/08/15,20:11
COULEE HITE,344,Classified,NORTHEAST,Spokane County,,First Attack,Miscellaneous,Vehicle Fire,None,08/08/15,16:59
COULEE HITE,344,Classified,NORTHEAST,Spokane County,,Started,Miscellaneous,Vehicle Fire,None,08/08/15,16:25
Knight,101,Classified,SOUTHEAST,Klickitat County,,First Attack,Miscellaneous,Other,None,08/08/15,22:40
Knight,101,Classified,SOUTHEAST,Klickitat County,,Started,Miscellaneous,Other,None,08/08/15,23:00
MILE 19 ,343,Classified,NORTHEAST,Stevens County,,Started,Under Investigation,Under Investigation,None,08/08/15,13:58
MILE 19 ,343,Classified,NORTHEAST,Stevens County,,First Attack,Under Investigation,Under Investigation,None,08/08/15,14:04
MP 30,1504,Other Agency,PACIFIC CASC,Skamania County,,Started,Undetermined,None,None,08/08/15,8:50
NO WILLIAM,994,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,08/08/15,9:13
TWIN BRIDGES,17,Classified,OLYMPIC,Grays Harbor County,,Started,Recreation,Camper,Campfire,08/08/15,20:34
TWIN BRIDGES,17,Classified,OLYMPIC,Grays Harbor County,,First Attack,Recreation,Camper,Campfire,08/08/15,20:34
Westfork,100,Classified,SOUTHEAST,Kittitas County,,Started,Recreation,Camper,Campfire,08/08/15,17:31
Westfork,100,Classified,SOUTHEAST,Kittitas County,,First Attack,Recreation,Camper,Campfire,08/08/15,17:31
ANTLER,342,Classified,NORTHEAST,Stevens County,,Started,Miscellaneous,Burning material from auto (other than thrown),None,08/07/15,17:50
ANTLER,342,Classified,NORTHEAST,Stevens County,,First Attack,Miscellaneous,Burning material from auto (other than thrown),None,08/07/15,18:23
CHATTAROY,341,Classified,NORTHEAST,Spokane County,,First Attack,Miscellaneous,Burning material from auto (other than thrown),None,08/07/15,8:02
CHATTAROY,341,Classified,NORTHEAST,Spokane County,,Started,Miscellaneous,Burning material from auto (other than thrown),None,08/07/15,7:45
EAST POLE,604,Unclassified,NORTHWEST,Whatcom County,,Started,Miscellaneous,Other,None,08/07/15,16:30
GREEN CANYON ROAD,1021,False Alarm,NORTHEAST,Lincoln County,,Started,Undetermined,None,None,08/07/15,18:53
GREENWATER,867,False Alarm,PACIFIC CASC,Lewis County,,Started,Undetermined,None,None,08/07/15,16:00
HOPE ISLAND,605,Unclassified,NORTHWEST,Skagit County,,Started,Recreation,Other,Campfire,08/07/15,23:00
LAMBERT CREEK,1575,Other Agency,NORTHEAST,Ferry County,,Started,Recreation,Other,Campfire,08/07/15,15:02
MELBA,638,Unclassified,PACIFIC CASC,Clark County,,Started,Miscellaneous,Other,None,08/07/15,13:53
MELBA,109,Classified,PACIFIC CASC,Cowlitz County,,First Attack,Recreation,Camper,Campfire,08/07/15,14:00
MELBA,109,Classified,PACIFIC CASC,Cowlitz County,,Started,Recreation,Camper,Campfire,08/07/15,13:53
NASELLE AREA,866,False Alarm,PACIFIC CASC,Pacific County,,Started,Undetermined,None,None,08/07/15,15:06
SANDERSON,639,Unclassified,PACIFIC CASC,Lewis County,,Started,Miscellaneous,Other,None,08/07/15,16:14
Spring Street,1550,Other Agency,SOUTHEAST,Klickitat County,,Started,Miscellaneous,Power Line,None,08/07/15,9:40
TIPSOO,108,Classified,SO PUGET,Thurston County,,Started,Logging,Sparks from Vehicle/Equipment,None,08/07/15,13:45
TIPSOO,108,Classified,SO PUGET,Thurston County,,First Attack,Logging,Sparks from Vehicle/Equipment,None,08/07/15,13:47
Ahtanum,1549,Other Agency,SOUTHEAST,Yakima County,,Started,Undetermined,None,None,08/06/15,16:53
BOISE BLUE,993,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,08/06/15,18:11
BOSTON,340,Classified,NORTHEAST,Spokane County,,Started,Railroad,Track maintenance,None,08/06/15,20:00
BOSTON,340,Classified,NORTHEAST,Spokane County,,First Attack,Railroad,Track maintenance,None,08/06/15,20:24
FARMERS MARKET,992,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,08/06/15,10:31
HAAG COVE,338,Classified,NORTHEAST,Ferry County,,First Attack,Miscellaneous,Structure Fire,None,08/06/15,19:39
HAAG COVE,338,Classified,NORTHEAST,Ferry County,,Started,Miscellaneous,Structure Fire,None,08/06/15,18:50
LODGE POLE,107,Classified,SO PUGET,Mason County,,First Attack,Under Investigation,Under Investigation,None,08/06/15,20:00
LODGE POLE,107,Classified,SO PUGET,Mason County,,Started,Under Investigation,Under Investigation,None,08/06/15,19:40
MIMA FALLS,844,False Alarm,SO PUGET,Thurston County,,Started,Undetermined,None,None,08/06/15,7:45
MOSQUITO,106,Classified,SO PUGET,Thurston County,,Started,Under Investigation,Under Investigation,None,08/06/15,18:53
MOSQUITO,106,Classified,SO PUGET,Thurston County,,First Attack,Under Investigation,Under Investigation,None,08/06/15,19:40
SCOTT ROAD,339,Classified,NORTHEAST,Stevens County,,First Attack,Undetermined,None,None,08/06/15,17:30
SCOTT ROAD,339,Classified,NORTHEAST,Stevens County,,Started,Undetermined,None,None,08/06/15,16:30
TENAS MOUNTAIN,1574,Other Agency,NORTHEAST,Okanogan County,,Started,Undetermined,None,None,08/06/15,11:32
CHARTER,107,Classified,PACIFIC CASC,Clark County,,First Attack,Debris Burning,None,None,08/05/15,17:11
CHARTER,107,Classified,PACIFIC CASC,Clark County,,Started,Debris Burning,None,None,08/05/15,17:07
CRAIG AND MCFARLAND,991,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,08/05/15,16:16
CREEKSIDE,103,Classified,SO PUGET,Thurston County,,First Attack,Miscellaneous,Other,None,08/05/15,18:13
CREEKSIDE,103,Classified,SO PUGET,Thurston County,,Started,Miscellaneous,Other,None,08/05/15,17:52
JOHNSON WEDGE,99,Classified,SO PUGET,Thurston County,,Started,Undetermined,None,None,08/05/15,13:28
JOHNSON WEDGE,99,Classified,SO PUGET,Thurston County,,First Attack,Undetermined,None,None,08/05/15,13:36
KAMILCHE PT RD,843,False Alarm,SO PUGET,Mason County,,Started,Undetermined,None,None,08/05/15,17:00
MACMAHAN,337,Classified,NORTHEAST,Spokane County,,Started,Miscellaneous,Structure Fire,None,08/05/15,18:56
MACMAHAN,337,Classified,NORTHEAST,Spokane County,,First Attack,Miscellaneous,Structure Fire,None,08/05/15,9:10
MERIDIAN 510,105,Classified,SO PUGET,Thurston County,,Started,Under Investigation,None,None,08/05/15,19:52
MERIDIAN 510,105,Classified,SO PUGET,Thurston County,,First Attack,Under Investigation,None,None,08/05/15,19:40
Mud Springs,99,Classified,SOUTHEAST,Klickitat County,,First Attack,Miscellaneous,Other,None,08/05/15,2:33
Mud Springs,99,Classified,SOUTHEAST,Klickitat County,,Started,Miscellaneous,Other,None,08/05/15,1:51
NEWMAN FAKE,997,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,08/05/15,19:35
TANGLEWILDE,100,Classified,SO PUGET,Thurston County,,First Attack,Undetermined,None,None,08/05/15,17:00
TAYLOR TOWN,104,Classified,SO PUGET,Mason County,,Started,Under Investigation,Under Investigation,None,08/05/15,20:29
TAYLOR TOWN,104,Classified,SO PUGET,Mason County,,First Attack,Under Investigation,Under Investigation,None,08/05/15,21:21
VANCE TRESTLE,102,Classified,SO PUGET,Mason County,,Started,Under Investigation,Under Investigation,None,08/05/15,17:16
VANCE TRESTLE,102,Classified,SO PUGET,Mason County,,First Attack,Under Investigation,Under Investigation,None,08/05/15,18:40
263rd Ave. SE,603,Unclassified,NORTHWEST,Snohomish County,,Started,Debris Burning,None,None,08/04/15,17:21
82ND,105,Classified,PACIFIC CASC,Clark County,,Started,Undetermined,None,None,08/04/15,13:00
82ND,105,Classified,PACIFIC CASC,Clark County,,First Attack,Undetermined,None,None,08/04/15,14:40
A-400,103,Classified,PACIFIC CASC,Grays Harbor County,,Started,Under Investigation,None,None,08/04/15,14:16
A-400,103,Classified,PACIFIC CASC,Grays Harbor County,,First Attack,Under Investigation,None,None,08/04/15,15:16
BARSTOW SPUR,989,False Alarm,NORTHEAST,Ferry County,,Started,Undetermined,None,None,08/04/15,10:33
CEDAR HILL,104,Classified,PACIFIC CASC,Lewis County,,Started,Under Investigation,None,None,08/04/15,14:35
CEDAR HILL,104,Classified,PACIFIC CASC,Lewis County,,First Attack,Under Investigation,None,None,08/04/15,15:04
COX RD,106,Classified,PACIFIC CASC,Cowlitz County,,First Attack,Recreation,Camper,Campfire,08/04/15,20:47
COX RD,106,Classified,PACIFIC CASC,Cowlitz County,,Started,Recreation,Camper,Campfire,08/04/15,20:21
EAST MILAN,336,Classified,NORTHEAST,Spokane County,,Started,Miscellaneous,Spontaneous Combustion,None,08/04/15,13:40
EAST MILAN,336,Classified,NORTHEAST,Spokane County,,First Attack,Miscellaneous,Spontaneous Combustion,None,08/04/15,14:07
HERB,1573,Other Agency,NORTHEAST,Spokane County,,Started,Children,Children 10-18,Incendiary,08/04/15,12:41
Highway 8,1548,Other Agency,SOUTHEAST,Klickitat County,,Started,Under Investigation,Under Investigation,None,08/04/15,17:42
NIEMI RD,625,Unclassified,PACIFIC CASC,Clark County,,Started,Undetermined,None,None,08/04/15,14:57
SIWASH,335,Classified,NORTHEAST,Okanogan County,,Started,Arson,Grudge Fire,None,08/04/15,11:00
SIWASH,335,Classified,NORTHEAST,Okanogan County,,First Attack,Arson,Grudge Fire,None,08/04/15,10:37
SR 14 MP 93,1545,Other Agency,SOUTHEAST,Klickitat County,,Started,Undetermined,None,None,08/04/15,14:04
SUNDOWN ROAD,16,Classified,OLYMPIC,Jefferson County,,Started,Debris Burning,None,None,08/04/15,16:59
SUNDOWN ROAD,16,Classified,OLYMPIC,Jefferson County,,First Attack,Debris Burning,None,None,08/04/15,17:35
SWEETBRIER LANE,98,Classified,SO PUGET,Thurston County,,Started,Undetermined,None,None,08/04/15,21:00
SWEETBRIER LANE,98,Classified,SO PUGET,Thurston County,,First Attack,Undetermined,None,None,08/04/15,22:30
TROUT LAKE,1503,Other Agency,PACIFIC CASC,Clark County,,Started,Lightning,None,None,08/04/15,19:03
Tozier,1546,Other Agency,SOUTHEAST,Kittitas County,,Started,Undetermined,None,None,08/04/15,15:12
ALADDIN LEAN,990,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,08/03/15,18:13
BUDGET,101,Classified,PACIFIC CASC,Lewis County,,Started,Debris Burning,None,None,08/03/15,11:49
BUDGET,101,Classified,PACIFIC CASC,Lewis County,,First Attack,Debris Burning,None,None,08/03/15,12:31
CLOVERDALE,102,Classified,PACIFIC CASC,Cowlitz County,,Started,Miscellaneous,Vehicle Fire,None,08/03/15,19:02
CLOVERDALE,102,Classified,PACIFIC CASC,Cowlitz County,,First Attack,Miscellaneous,Vehicle Fire,None,08/03/15,19:03
COTTONWOOD CREEK,1572,Other Agency,NORTHEAST,Stevens County,,Started,Miscellaneous,Other,None,08/03/15,18:52
FOREST SPRINGS ROAD,97,Classified,SO PUGET,Mason County,,First Attack,Under Investigation,Under Investigation,None,08/03/15,10:30
FOREST SPRINGS ROAD,97,Classified,SO PUGET,Mason County,,Started,Under Investigation,Under Investigation,None,08/03/15,10:00
INDIAN CANYON,330,Classified,NORTHEAST,Spokane County,,Started,Recreation,Day Use,Campfire,08/03/15,10:20
INDIAN CANYON,330,Classified,NORTHEAST,Spokane County,,First Attack,Recreation,Day Use,Campfire,08/03/15,10:42
Junkyard,98,Classified,SOUTHEAST,Kittitas County,,First Attack,Under Investigation,None,None,08/03/15,14:06
Junkyard,98,Classified,SOUTHEAST,Kittitas County,,Started,Under Investigation,None,None,08/03/15,13:56
LITTLE BLUE,334,Classified,NORTHEAST,Stevens County,,Started,Miscellaneous,Power Line,None,08/03/15,19:00
LITTLE BLUE,334,Classified,NORTHEAST,Stevens County,,First Attack,Miscellaneous,Power Line,None,08/03/15,19:18
LUPIN LANE,331,Classified,NORTHEAST,Spokane County,,First Attack,Undetermined,None,None,08/03/15,13:15
LUPIN LANE,331,Classified,NORTHEAST,Spokane County,,Started,Undetermined,None,None,08/03/15,13:26
MASON,328,Classified,NORTHEAST,Spokane County,,Started,Children,Children 3-9,Playing With Fire,08/03/15,11:25
MASON,328,Classified,NORTHEAST,Spokane County,,First Attack,Children,Children 3-9,Playing With Fire,08/03/15,11:40
MEYERS CREEK,333,Classified,NORTHEAST,Okanogan County,,First Attack,Miscellaneous,Structure Fire,None,08/03/15,15:32
MEYERS CREEK,333,Classified,NORTHEAST,Okanogan County,,Started,Miscellaneous,Structure Fire,None,08/03/15,14:50
RONE SLOPE,332,Classified,NORTHEAST,Okanogan County,,Started,Recreation,Camper,Campfire,08/03/15,17:15
RONE SLOPE,332,Classified,NORTHEAST,Okanogan County,,First Attack,Recreation,Camper,Campfire,08/03/15,18:10
WILLIAMS SPUD,624,Unclassified,NORTHEAST,Stevens County,,Started,Miscellaneous,Power Line,None,08/03/15,20:54
EAST KETTLE RIVER ,1571,Other Agency,NORTHEAST,Ferry County,,Started,Miscellaneous,Other,None,08/02/15,17:51
ENTERPRISE VALLEY,329,Classified,NORTHEAST,Stevens County,,First Attack,Undetermined,None,None,08/02/15,22:45
ENTERPRISE VALLEY,329,Classified,NORTHEAST,Stevens County,,Started,Undetermined,None,None,08/02/15,22:00
GLACIER,842,False Alarm,SO PUGET,Mason County,,Started,Undetermined,None,None,08/02/15,18:30
GLENROSE,326,Classified,NORTHEAST,Spokane County,,Started,Children,Children 10-18,Incendiary,08/02/15,19:30
GLENROSE,326,Classified,NORTHEAST,Spokane County,,First Attack,Children,Children 10-18,Incendiary,08/02/15,20:03
MP 7.5,602,Unclassified,NORTHWEST,Snohomish County,,Started,Recreation,Other,Campfire,08/02/15,22:08
NARCISSE,324,Classified,NORTHEAST,Stevens County,,Started,Smoker,Adult Smoking,None,08/02/15,10:30
NARCISSE,324,Classified,NORTHEAST,Stevens County,,First Attack,Smoker,Adult Smoking,None,08/02/15,10:43
NEWISKA,843,False Alarm,PACIFIC CASC,Grays Harbor County,,Started,Undetermined,None,None,08/02/15,13:11
PHILLIPS LAKE,987,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,08/02/15,10:42
POWER PLANT,54,Classified,NORTHWEST,Snohomish County,,First Attack,Recreation,Other,Campfire,08/02/15,15:50
POWER PLANT,54,Classified,NORTHWEST,Snohomish County,,Started,Recreation,Other,Campfire,08/02/15,13:40
POWER PLANT,54,Classified,NORTHWEST,Snohomish County,,First Attack,Recreation,Other,Campfire,08/02/15,16:00
ST. GEORGES,327,Classified,NORTHEAST,Spokane County,,Started,Undetermined,None,None,08/02/15,20:45
ST. GEORGES,327,Classified,NORTHEAST,Spokane County,,First Attack,Undetermined,None,None,08/02/15,21:30
TANGLEWILDE,100,Classified,SO PUGET,Thurston County,,Started,Undetermined,None,None,08/02/15,16:48
WILSON,325,Classified,NORTHEAST,Spokane County,,Started,Smoker,Adult Smoking,None,08/02/15,15:11
WILSON,325,Classified,NORTHEAST,Spokane County,,First Attack,Smoker,Adult Smoking,None,08/02/15,15:36
AGNEW MILL,96,Classified,PACIFIC CASC,Lewis County,,First Attack,Recreation,Camper,Campfire,08/01/15,11:17
AGNEW MILL,96,Classified,PACIFIC CASC,Lewis County,,Started,Recreation,Camper,Campfire,08/01/15,10:23
ANGLIN SPOT,321,Classified,NORTHEAST,Okanogan County,,First Attack,Smoker,Other,None,08/01/15,20:59
ANGLIN SPOT,321,Classified,NORTHEAST,Okanogan County,,Started,Smoker,Other,None,08/01/15,20:30
BALDY,323,Classified,NORTHEAST,Pend Oreille County,,Started,Lightning,None,None,08/01/15,15:19
DEXTER,100,Classified,PACIFIC CASC,Lewis County,,First Attack,Miscellaneous,Fireworks other than children,None,08/01/15,20:15
FALLS,97,Classified,PACIFIC CASC,Skamania County,,Started,Smoker,Adult Smoking,None,08/01/15,14:15
FALLS,97,Classified,PACIFIC CASC,Skamania County,,First Attack,Smoker,Adult Smoking,None,08/01/15,14:17
GREENWOOD,99,Classified,PACIFIC CASC,Cowlitz County,,Started,Miscellaneous,Fireworks other than children,None,08/01/15,16:50
GREENWOOD,99,Classified,PACIFIC CASC,Cowlitz County,,First Attack,Miscellaneous,Fireworks other than children,None,08/01/15,16:55
Hoh Smoke,815,False Alarm,OLYMPIC,Jefferson County,,Started,Undetermined,None,None,08/01/15,10:43
I-90 SPRAGUE,1570,Other Agency,NORTHEAST,Lincoln County,,Started,Under Investigation,Under Investigation,None,08/01/15,16:33
MINERAL,865,False Alarm,PACIFIC CASC,Lewis County,,Started,Undetermined,None,None,08/01/15,17:27
NEWMAN LIGHTS,988,False Alarm,NORTHEAST,Spokane County,,Started,Undetermined,None,None,08/01/15,0:32
NO WILL,983,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,08/01/15,10:37
OAK,98,Classified,PACIFIC CASC,Skamania County,,Started,Undetermined,None,None,08/01/15,15:00
OAK,98,Classified,PACIFIC CASC,Skamania County,,First Attack,Undetermined,None,None,08/01/15,15:15
OREGON ROAD,322,Classified,NORTHEAST,Stevens County,,First Attack,Miscellaneous,Vehicle Fire,None,08/01/15,21:36
OREGON ROAD,322,Classified,NORTHEAST,Stevens County,,Started,Miscellaneous,Vehicle Fire,None,08/01/15,21:00
